Station Name;Reference Station;Longitude;Latitude;Timezone;Hmin (High Tide Time Add);Hmpy (High Tide Level Multiply);Hoff (High Tide Level Add);Lmin (Low Tide Time Add);Lmpy (Low Tide Level Multiply);Loff (Low Tide Level Add);HW1_Zeit;HW1_Stand;HW2_Zeit;HW2_Stand;NW1_Zeit;NW1_Stand;NW2_Zeit;NW2_Stand
Nagasaki, Inubo Saki;Kamaisi, Iwate, Japan;140,8667;35,7;9:0;45;1;0,1;43;1;0;11:28;1,33;;;04:55;0,73;18:59;0,57
Katsuura Wan;Yokohama-Sinko, Kanagawa, Japan;140,3;35,1333;9:0;-43;0,78;0;-35;0,8;0;23:51;0,99;11:42;1,19;05:48;0,75;19:21;0,54
Kamogawa, Kamogawa Wan;Yokohama-Sinko, Kanagawa, Japan;140,1;35,1;9:0;-31;0,74;0,2;-22;0,74;0,2;00:03;1,14;11:54;1,33;06:01;0,90;19:34;0,70
Otohama;Yokohama-Sinko, Kanagawa, Japan;139,9333;34,9167;9:0;-31;0,74;0,1;-22;0,74;0,1;00:03;1,04;11:54;1,23;06:01;0,80;19:34;0,60
Tokyo Wan: Tateyama Wan;Yokohama-Sinko, Kanagawa, Japan;139,85;35,0167;9:0;-22;0,83;0;-14;0,83;0;00:12;1,05;12:03;1,27;06:09;0,78;19:42;0,56
Tokyo Wan: Uraga Ko;Yokohama-Sinko, Kanagawa, Japan;139,7167;35,2333;9:0;-12;0,83;0,1;-4;0,83;0,1;00:22;1,15;12:13;1,37;06:19;0,88;19:52;0,66
Tokyo Wan: Yokosuka Ko;Yokohama-Sinko, Kanagawa, Japan;139,6667;35,2833;9:0;-4;0,91;0;-4;0,91;0;00:30;1,16;12:21;1,39;06:19;0,86;19:52;0,62
Tokyo Wan: Yokohama;Yokohama-Sinko, Kanagawa, Japan;139,6667;35,4333;9:0;0;1;0;0;1;0;00:34;1,27;12:25;1,53;06:23;0,94;19:56;0,68
Tokyo Wan: Shinagawa, Tokyo Ko;Yokohama-Sinko, Kanagawa, Japan;139,75;35,6167;9:0;2;1;0;11;1;-0,1;00:36;1,27;12:27;1,53;06:34;0,84;20:07;0,58
Tokyo Wan: Chiba;Yokohama-Sinko, Kanagawa, Japan;140,1167;35,6;9:0;-6;1;0,4;2;1;0,1;00:28;1,67;12:19;1,93;06:25;1,04;19:58;0,78
Aburatsubo;Yokohama-Sinko, Kanagawa, Japan;139,6167;35,15;9:0;-8;0,77;0,1;0;0,77;0,1;00:26;1,08;12:17;1,28;06:23;0,82;19:56;0,62
Koto Wan;Yokohama-Sinko, Kanagawa, Japan;139,6167;35,2167;9:0;-23;0,8;0;-14;0,8;0;00:11;1,02;12:02;1,22;06:09;0,75;19:42;0,54
Ajiro Ko;Yokohama-Sinko, Kanagawa, Japan;139,0833;35,05;9:0;-21;0,77;0,1;-12;0,77;0,1;00:13;1,08;12:04;1,28;06:11;0,82;19:44;0,62
Shimoda Ko;Yokohama-Sinko, Kanagawa, Japan;138,95;34,6667;9:0;5;0,86;0;14;0,86;0;00:39;1,09;12:30;1,32;06:37;0,81;20:10;0,58
Merakoura Ko;Yokohama-Sinko, Kanagawa, Japan;138,7833;34,6667;9:0;23;0,85;0;31;0,85;0;00:57;1,08;12:48;1,30;06:54;0,80;20:27;0,58
Tago Minato;Yokohama-Sinko, Kanagawa, Japan;138,7667;34,8;9:0;25;0,89;-0,1;33;0,89;-0,1;00:59;1,03;12:50;1,26;06:56;0,74;20:29;0,51
Eno Ura;Yokohama-Sinko, Kanagawa, Japan;138,8833;35,0167;9:0;32;0,8;0;41;0,8;0;01:06;1,02;12:57;1,22;07:04;0,75;20:37;0,54
Shimizu Ko;Yokohama-Sinko, Kanagawa, Japan;138,5;35;9:0;32;0,85;0;36;0,85;0;01:06;1,08;12:57;1,30;06:59;0,80;20:32;0,58
Omai Saki;Yokohama-Sinko, Kanagawa, Japan;138,2167;34,6;9:0;18;0,89;0;27;0,85;0;00:52;1,13;12:43;1,36;06:50;0,80;20:23;0,58
Shino Shima, Mikawa Wan;Yokohama-Sinko, Kanagawa, Japan;137;34,6833;9:0;54;1;0,8;63;1;0;01:28;2,07;13:19;2,33;07:26;0,94;20:59;0,68
Gamagori, Mikawa Wan;Yokohama-Sinko, Kanagawa, Japan;137,2333;34,8167;9:0;56;1;1,3;64;1;0,1;01:30;2,57;13:21;2,83;07:27;1,04;21:00;0,78
Nagoya Ko, Iseno Umi;Yokohama-Sinko, Kanagawa, Japan;136,8833;35,0833;9:0;61;1,4;-0,6;65;1,4;-0,6;01:35;1,18;13:26;1,54;07:28;0,72;21:01;0,35
Yokkaichi Ko, Iseno Umi;Yokohama-Sinko, Kanagawa, Japan;136,6333;34,95;9:0;61;1;1;70;1;0;01:35;2,27;13:26;2,53;07:33;0,94;21:06;0,68
Tsu Ko, Iseno Umi;Yokohama-Sinko, Kanagawa, Japan;136,5333;34,7167;9:0;59;1;1,2;67;1;0,1;01:33;2,47;13:24;2,73;07:30;1,04;21:03;0,78
Toba Ko;Yokohama-Sinko, Kanagawa, Japan;136,85;34,4833;9:0;54;1;0,3;68;1;-0,1;01:28;1,57;13:19;1,83;07:31;0,84;21:04;0,58
Matoya Ko;Yokohama-Sinko, Kanagawa, Japan;136,8667;34,3667;9:0;40;0,89;0;49;0,85;0;01:14;1,13;13:05;1,36;07:12;0,80;20:45;0,58
Hamashima, Ago Wan;Yokohama-Sinko, Kanagawa, Japan;136,75;34,2833;9:0;49;0,91;0;58;0,85;0;01:23;1,16;13:14;1,39;07:21;0,80;20:54;0,58
Gokasho Ko;Yokohama-Sinko, Kanagawa, Japan;136,6667;34,3167;9:0;31;0,91;0;39;0,85;0;01:05;1,16;12:56;1,39;07:02;0,80;20:35;0,58
Hikimoto Ura, Owashi Wan;Yokohama-Sinko, Kanagawa, Japan;136,25;34,0833;9:0;44;0,93;0;49;0,9;0;01:18;1,18;13:09;1,42;07:12;0,85;20:45;0,61
Katsuura Wan;Yokohama-Sinko, Kanagawa, Japan;135,95;33,6167;9:0;42;0,91;0;51;0,85;0;01:16;1,16;13:07;1,39;07:14;0,80;20:47;0,58
Urakami Ko;Yokohama-Sinko, Kanagawa, Japan;135,9;33,55;9:0;44;1;-0,4;53;1;-0,3;01:18;0,87;13:09;1,13;07:16;0,64;20:49;0,38
Kushimoto, Fukuro Ko;Yokohama-Sinko, Kanagawa, Japan;135,7667;33,4667;9:0;53;0,91;0;62;0,85;0;01:27;1,16;13:18;1,39;07:25;0,80;20:58;0,58
Susami;Yokohama-Sinko, Kanagawa, Japan;135,5;33,55;9:0;56;1;-0,1;65;1;-0,1;01:30;1,17;13:21;1,43;07:28;0,84;21:01;0,58
Tanabe Ko;Yokohama-Sinko, Kanagawa, Japan;135,3667;33,7167;9:0;47;1;-0,1;56;1;-0,3;01:21;1,17;13:12;1,43;07:19;0,64;20:52;0,38
Mio;Yokohama-Sinko, Kanagawa, Japan;135,0833;33,8833;9:0;50;1;-0,2;58;1;-0,2;01:24;1,07;13:15;1,33;07:21;0,74;20:54;0,48
Habu Ko, O Shima;Yokohama-Sinko, Kanagawa, Japan;139,4333;34,6833;9:0;-28;0,77;0,2;-20;0,77;0,2;00:06;1,18;11:57;1,38;06:03;0,92;19:36;0,72
Shikine Shima;Yokohama-Sinko, Kanagawa, Japan;139,2167;34,3167;9:0;6;0,8;0,2;15;0,8;0,2;00:40;1,22;12:31;1,42;06:38;0,95;20:11;0,74
