fingerprint,file,name,lat,lon,n_identical
84ffb41c54e9bee0f39d23ca7f143bb4,harmonics/noaa/harmonics_noaa_amtt.txt,"Paposo, Chile",-25.0333,-70.4667,2
c56baf03bda2f2cb40482c5cca53f2cb,harmonics/noaa/harmonics_noaa_amtt.txt,"Puerto Melo, Chubut, Argentina",-45.0167,-65.8333,2
c56baf03bda2f2cb40482c5cca53f2cb,harmonics/noaa/harmonics_noaa_amtt.txt,"Isla Tova, Chubut, Argentina",-45.1,-65.9833,2
d1e707c6e0c7f7b57327ad768c106607,harmonics/noaa/harmonics_noaa_amtt.txt,"Iquique, Chile",-20.2,-70.1667,2
d1e707c6e0c7f7b57327ad768c106607,harmonics/noaa/harmonics_noaa_amtt.txt,"Arica, Chile",-18.4667,-70.3333,2
ed6dad298aa1008de5c6616e8a4c362f,harmonics/noaa/harmonics_noaa_amtt.txt,"San Antonio, Chile",-33.5833,-71.6333,2
ed6dad298aa1008de5c6616e8a4c362f,harmonics/noaa/harmonics_noaa_amtt.txt,"Rada Quintay, Chile",-33.1833,-71.7,2
ee55c892373e8b7784807f84780be873,harmonics/noaa/harmonics_noaa_amtt.txt,"Río Imperial entrance, Chile",-38.8,-73.3833,2
ee55c892373e8b7784807f84780be873,harmonics/noaa/harmonics_noaa_amtt.txt,"Bahía Coliumo, Chile",-36.5333,-72.9667,2
f6beae3c3cdf51b71f97053209e4dee6,harmonics/noaa/harmonics_noaa_amtt.txt,"Keete Island, Nutkwa Inlets, Alaska",55.05,-132.5833,2
f6beae3c3cdf51b71f97053209e4dee6,harmonics/noaa/harmonics_noaa_amtt.txt,"Copper Harbor, Alaska",55.2167,-132.6167,2
0b8ddafc0dccbbe8644ade6c4bdd2b0b,harmonics/noaa/harmonics_noaa_cptt.txt,"Cuyo, Cuyo Island, Antique, Philippines",10.85,121.0,2
0b8ddafc0dccbbe8644ade6c4bdd2b0b,harmonics/noaa/harmonics_noaa_cptt.txt,"Culion, Culion Island, Palawan, Philippines",11.8833,120.0167,2
