band,no,name,ref,ref_druck,faktor,passt_zu,passt_km
eutt,481,Arrifana,Lisbon,,0.71,,
eutt,625,"Rochefort, Charente River <6>",Pointe de Grave,,14.91,,
eutt,651,"Nantes, Loire River <6>",Pointe de Grave,,142.0,,
eutt,803,Lossiemouth,Leith,,1.27,IMMINGHAM,494
eutt,885,"Brightlingsea, Colne River",Sheerness,,1.39,"LONDON BRIDGE, Thames River",82
eutt,901,Margate,Sheerness,,1.36,"LONDON BRIDGE, Thames River",102
eutt,929,"Ventnor, Isle of Wight <9>",Southampton,,1.46,"SHEERNESS, Medway River",166
eutt,931,"Cowes, Isle of Wight <9>",Southampton,,1.42,"SHEERNESS, Medway River",162
eutt,937,"Yarmouth, Isle of Wight <10>",Southampton,,1.25,CHERBOURG,117
eutt,981,"Appledore, Bristol Channel",Liverpool,,1.43,,
eutt,1143,Red Bay,Dublin,,1.3,"LEITH, Firth of Forth",208
eutt,1279,"Lopransfjordhur, Sudhuroy Island",Reykjavik,,1.81,,
eutt,1285,Sudhuroyarfjordhur,Reykjavik,,1.81,,
eutt,1289,Mykines,Reykjavik,,1.81,,
eutt,1293,"Torshavn, Streymoy Island",Reykjavik,,1.38,"LEITH, Firth of Forth",700
eutt,1299,"Eidhi, Eysturoy Island",Reykjavik,,1.77,,
eutt,1301,"Leirvik, Eysturoy Island",Reykjavik,,1.58,,
eutt,1305,Svinoyarfjordhur,Reykjavik,,1.58,,
eutt,1307,Fugloyarfjordhur,Reykjavik,,1.68,,
eutt,1511,Agger,Gibraltar,,1.59,BERGEN,437
eutt,1513,Hirtshals,Gibraltar,,1.52,BERGEN,410
eutt,1527,Mandal (Tregde),Bergen,,0.74,,
wctt,7,Dungeness,Puerto Montt,,1.44,,
wctt,9,Punta Catalina,Puerto Montt,,1.34,,
wctt,11,Bahia Posesion,Puerto Montt,,1.38,,
wctt,13,Banco Direccion,Puerto Montt,,1.31,,
wctt,131,"Carelmapu, Canal Chacao",Valparaiso,,1.47,,
wctt,157,Buchupureo,Valparaiso,,2.06,,
wctt,197,Carrizal Bajo,Antofagasta,,1.35,,
