abstand_km,kennung_art,kennung,station,lat,lon,katalog_name,katalog_lat,katalog_lon,befund,datei,n_kennungen
10.4,uhslc_id,454,"Makemo Atoll, Tuamotu Archipelago",-16.626998,-143.569212,Makemo,-16.5980,-143.6620,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
10.4,ioc_code,ters,"Terschelling, west, Netherlands",53.363045,5.220026,Terschelling Noordzee,53.4278,5.3328,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,2
10.3,psmsl_id,416,"Dakshin Bandar (Chittagong  15 No. Ghat), Bangladesh",22.2417,91.8209,CHITTAGONG (SADARGHAT),22.3333,91.8333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,11
10.2,ioc_code,chtt,"Dakshin Bandar (Chittagong  15 No. Ghat), Bangladesh",22.2417,91.8209,Chittagong,22.3333,91.8250,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,11
10.2,ptwc_code,chtt,"Dakshin Bandar (Chittagong  15 No. Ghat), Bangladesh",22.2417,91.8209,Chittagong,22.3333,91.8250,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,11
10.0,uhslc_id,111,"Pointe la Rue, Seychelles",-4.6744,55.531,Port Victoria,-4.6217,55.4583,Nachbarpegel -- Kennung pruefen,harmonics/ticon/harmonics_ticon4_worldwide.txt,5
10.0,ioc_code,ouve2,"Ouvéa, Îles Loyauté, New Caledonia",-20.549816,166.561867,Ouvea 2,-20.4598,166.5619,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
9.9,psmsl_id,1579,"Betio, Tarawa, Kiribati",1.3651,172.933,"TARAWA-B,BAIRIKI",1.3333,173.0167,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,8
9.8,psmsl_id,1611,"Napoli, Italy",40.841406,14.269194,NISIDA,40.8000,14.1667,Nachbarpegel -- Kennung pruefen,harmonics/ticon/harmonics_ticon4_worldwide.txt,7
9.5,psmsl_id,92,"The Battery, New York Harbor, New York",40.7005,-74.0142,FORT HAMILTON,40.6167,-74.0333,Nachbarpegel -- Kennung pruefen,harmonics/classic/harmonics-dwf-20251228-free.txt,8
