tafel,name,lat,lon,scheitel,neu_rms_cm,neu_dt_min,bestand,bestand_datei,bestand_rms_cm,bestand_dt_min,saetze
Haws_Point.json,Haws Point,54.05,-3.1666667,3725,4.5,6.0,"Haws Point, England, United Kingdom",harmonics_utide_tidetables.txt,40.1,6.5,1
Hunstanton.json,Hunstanton,52.9333333,0.4833333,3725,4.5,6.3,"Hunstanton, England, United Kingdom",harmonics_utide_tidetables.txt,26.7,6.4,1
Yelland_Marsh.json,Yelland Marsh,51.0666667,-4.1666667,3347,4.5,4.1,"Yelland Marsh, England, United Kingdom",harmonics_utide_tidetables.txt,103.8,14.1,1
Hull_(King_George_Dock).json,Hull (King George Dock),53.7333333,-0.2666667,1774,4.4,6.2,"Hull (King George Dock), England, United Kingdom",harmonics-1997-05-25_mod.txt,25.0,6.9,3
Porthgain.json,Porthgain,51.95,-5.1833333,3725,4.4,6.6,"Porthgain, Wales, United Kingdom",harmonics_utide_tidetables.txt,16.3,2.5,1
Humber_Sea_Terminal.json,Humber Sea Terminal,53.6666667,-0.2333333,3721,4.3,6.6,"Humber Sea Terminal, England, United Kingdom",harmonics_utide_tidetables.txt,28.5,3.5,1
New_Hythe.json,New Hythe,51.3166667,0.4666667,3725,4.3,18.0,"New Hythe, England, United Kingdom",harmonics_utide_tidetables.txt,25.6,15.7,1
Wisbech_Cut.json,Wisbech Cut,52.8,0.2166667,2450,4.3,4.3,"Wisbech Cut, England, United Kingdom",harmonics_utide_tidetables.txt,23.8,8.9,1
Calf_Sound.json,Calf Sound,54.0667,-4.8,3721,4.2,6.6,"Calf Sound, Isle of Man",harmonics_utide_tidetables.txt,26.1,4.2,1
Cardigan_(Town).json,Cardigan (Town),52.0833333,-4.6666667,1863,4.2,5.0,"Cardigan (Town), Wales, United Kingdom",harmonics_utide_tidetables.txt,15.5,4.8,1
Dungeness.json,Dungeness,50.9166667,0.9666667,3722,4.2,7.3,"Dungeness, England, United Kingdom",harmonics_utide_tidetables.txt,32.5,11.4,2
Kirkcudbright_Bay.json,Kirkcudbright Bay,54.8,-4.0666667,1769,4.2,5.9,"Kirkcudbright Bay, Scotland, United Kingdom",harmonics_utide_observations.txt,13.9,12.8,2
Outer_Westmark_Knock.json,Outer Westmark Knock,52.8833333,0.2166667,3722,4.2,6.2,"Outer Westmark Knock, England, United Kingdom",harmonics_utide_tidetables.txt,28.7,4.8,1
Rathmullan.json,Rathmullan,55.1,-7.5333333,3667,4.2,5.8,"Rathmullan, Ireland",harmonics_utide_tidetables.txt,34.3,8.2,1
Roa_Island.json,Roa Island,54.0666667,-3.1666667,3725,4.2,5.4,"Roa Island, England, United Kingdom",harmonics_utide_tidetables.txt,39.4,6.4,1
Rosyth.json,Rosyth,56.0166667,-3.45,1775,4.2,17.3,"Rosyth, Scotland, United Kingdom",harmonics-1997-05-25_mod.txt,13.7,18.4,2
Whitehaven.json,Whitehaven,54.55,-3.6,1770,4.2,6.9,"Whitehaven, England, United Kingdom",harmonics_noaa_eutt.txt,31.8,19.9,2
Barrow_(Ramsden_Dock).json,Barrow (Ramsden Dock),54.1,-3.2166667,1777,4.1,6.2,"Barrow-in-Furness (Ramsden Dock), England, United Kingdom",harmonics_utide_tidetables.txt,9.0,4.3,2
Colwyn_Bay.json,Colwyn Bay,53.3,-3.7166667,1863,4.1,7.3,"Colwyn Bay, Wales, United Kingdom",harmonics_utide_tidetables.txt,11.4,3.1,1
Coryton.json,Coryton,51.5,0.5166667,1766,4.1,14.7,"Coryton, England, United Kingdom",harmonics_utide_tidetables.txt,14.8,6.8,1
Drummore.json,Drummore,54.7,-4.8833333,3720,4.1,6.7,"Drummore, Scotland, United Kingdom",harmonics_utide_tidetables.txt,25.8,4.9,1
Halfway_Shoal.json,Halfway Shoal,54.0166667,-3.2,3725,4.1,5.3,"Halfway Shoal, England, United Kingdom",harmonics_utide_tidetables.txt,37.6,6.3,1
Hull_(Alexandra_Dock).json,Hull (Alexandra Dock),53.7333,-0.3,1774,4.1,7.4,"Hull (Alexandra Dock), England, United Kingdom",harmonics_utide_tidetables.txt,30.3,3.8,1
Inishtrahull.json,Inishtrahull,55.4333333,-7.2333333,3661,4.1,6.3,"Inishtrahull, Ireland",harmonics_utide_tidetables.txt,26.8,8.7,1
Kyle_Of_Durness.json,Kyle Of Durness,58.6,-4.7833333,1759,4.1,5.4,,,,,0
