tafel,satz,datei,empfehlung,nachbar_alt_pct,nachbar_neu_pct,lat,lon,tafel_alt_cm,tafel_neu_cm,neu_dt_min,zahm,tiefste,hoechste,tafel_tief,tafel_hoch,reihe,echt_neu_cm,echt_alt_cm,entscheidung
Glasson_Dock.json,"Glasson Dock, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),18.1,90.6,54.0000,-2.8500,60.3,5.6,8.1,nein,-64.38,7.99,3.28,7.64,,,,
Richborough.json,"Richborough, England, United Kingdom",harmonics_utide_tidetables.txt,neu fitten,42.6,13.0,51.3000,1.3500,57.1,2.5,5.3,ja,-0.53,4.12,0.0,4.15,,,,
Ferryside.json,"Ferryside, Wales, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),24.4,28.3,51.7667,-4.3667,60.5,7.1,6.1,ja,-0.34,7.52,0.0,7.58,,,,
Kew_Bridge.json,"Kew Bridge, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),32.4,45.6,51.4833,-0.2833,60.4,7.5,14.3,ja,-0.36,6.78,0.0,5.8,,,,
Blacktoft.json,"Blacktoft (River Ouse), England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),23.9,25.1,53.7000,-0.7167,58.8,6.5,8.8,ja,-0.77,6.66,0.0,6.63,,,,
Keadby.json,"Keadby, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),21.0,19.3,53.6000,-0.7333,57.2,5.9,8.0,ja,-0.99,5.34,0.0,5.35,rloi2144.json,41.9,62.6,
Chester.json,"Chester, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),40.8,102.1,53.2000,-2.9000,55.1,4.9,7.7,nein,-67.58,5.05,0.92,4.91,,,,
Brough.json,"Brough, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),23.8,23.1,53.7167,-0.5833,54.4,5.0,7.1,ja,-0.82,6.9,0.0,6.95,rloi8036.json,90.8,86.1,
Weston-Super-Mare.json,"Weston-Super-Mare, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),11.7,13.5,51.3500,-2.9833,56.1,8.0,8.3,ja,0.28,12.96,0.33,13.0,,,,
Lancaster.json,"Lancaster, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),41.5,89.0,54.0500,-2.8167,53.0,5.0,8.8,nein,-54.1,5.22,1.56,5.15,,,,
Wells.json,"Wells, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),43.4,23.7,52.9667,0.8500,50.6,2.8,3.0,nein,-1.15,4.15,0.0,4.13,rloi6013.json,35.6,69.4,
Haverfordwest.json,"Haverfordwest, Wales, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),57.9,109.8,51.8000,-4.9667,54.0,6.2,4.5,nein,-4.88,87.81,0.0,3.06,,,,
Arnside.json,"Arnside, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),29.4,95.4,54.2000,-2.8500,52.8,6.4,9.8,nein,-66.64,11.01,6.48,10.84,,,,
St._Thomass_Head.json,"St. Thomas's Head, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),7.2,11.0,51.4000,-2.9333,56.4,10.0,8.0,ja,0.22,14.07,0.1,14.11,,,,
Steep_Holm.json,"Steep Holm, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),6.5,7.9,51.3333,-3.1000,55.2,9.2,8.1,ja,-0.22,12.56,0.0,12.63,,,,
English_And_Welsh_Grounds.json,"English And Welsh Grounds, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),5.6,8.0,51.4667,-2.9833,54.9,10.1,7.1,ja,0.2,14.11,0.1,14.23,,,,
Clevedon.json,"Clevedon, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),5.8,8.5,51.4500,-2.8667,55.2,10.9,8.6,ja,0.12,14.05,0.02,14.11,,,,
Wyre_Lighthouse.json,"Wyre Lighthouse, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),10.4,88.1,53.9500,-3.0333,48.7,4.7,7.8,nein,-55.86,10.31,6.32,10.09,,,,
Flat_Holm.json,"Flat Holm, Wales, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),5.0,7.2,51.3833,-3.1167,52.2,8.7,7.9,ja,0.26,12.94,0.16,13.02,,,,
Bembridge_Harbour.json,"Bembridge Harbour, England, United Kingdom",harmonics_utide_tidetables.txt,neu fitten,35.0,20.1,50.7000,-1.1167,45.2,2.1,7.9,ja,-0.5,3.6,0.0,3.54,rloi1018.json,19.2,73.0,
Southerness_Point.json,"Southerness Point, Scotland, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),6.5,89.0,54.8667,-3.6000,47.6,5.1,7.4,nein,-54.94,9.78,5.72,9.49,,,,
Owston_Ferry.json,"Owston Ferry, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),18.1,65.8,53.4833,-0.7667,46.6,5.4,5.0,nein,-15.43,5.08,0.96,4.61,,,,
Watchet.json,"Watchet, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),12.0,12.4,51.1833,-3.3333,49.3,8.4,6.8,ja,0.4,12.2,0.52,12.24,,,,
Shirehampton.json,"Shirehampton, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),11.6,12.6,51.4833,-2.6833,50.6,10.4,9.4,ja,0.35,13.83,0.26,13.9,,,,
Lochgoilhead.json,"Lochgoilhead, Scotland, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),12.4,11.0,56.1667,-4.9000,42.5,2.6,6.6,ja,-0.5,3.71,0.0,3.72,,,,
Mellon_Point.json,"Mellon Point (River Shannon), Ireland",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),11.0,14.5,52.6667,-8.8333,43.8,4.1,9.0,ja,-0.49,6.48,0.0,6.48,,,,
Inward_Rocks.json,"Inward Rocks, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),18.8,18.3,51.6500,-2.6167,50.5,11.0,10.8,ja,0.01,13.24,0.02,13.31,,,,
Narlwood_Rocks.json,"Inward Rocks, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),18.8,19.8,51.6500,-2.6000,50.2,10.7,9.5,ja,-0.26,12.65,0.0,12.74,,,,
Beachley_(Aust).json,"Beachley (Aust), England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),13.5,16.5,51.6000,-2.6333,50.7,11.4,11.6,ja,0.25,14.02,0.16,14.07,,,,
Sea_Mills.json,"Sea Mills, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),15.6,14.0,51.4833,-2.6500,49.6,10.4,10.0,ja,0.45,13.17,0.41,13.24,,,,
Minehead.json,"Minehead, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),8.5,8.9,51.2167,-3.4667,46.9,8.0,6.4,ja,0.11,11.63,0.06,11.69,,,,
Porlock_Bay.json,"Porlock Bay, England, United Kingdom",harmonics_utide_tidetables.txt,offen (Nachbarn unentschieden),4.4,3.4,51.2167,-3.6333,46.5,8.0,7.2,ja,0.15,10.93,0.32,11.0,,,,
Rye_(Harbour).json,"Rye (Harbour), England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),20.1,30.5,50.9333,0.7667,40.7,2.7,6.9,nein,-8.83,7.79,3.05,6.02,,,,
