name,datei_a,rms_a_cm,datei_b,rms_b_cm,hub_m
"Chichijima (Futami Ko), Tokyo, Japan",harmonics_ticon4_worldwide.txt,1.9,harmonics_utide_observations.txt,1.3,1.46
"Chichijima (Futami Ko), Tokyo, Japan",harmonics_ticon4_worldwide.txt,1.9,harmonics_utide_observations.txt,1.3,1.46
"Chofu (Shimonoseki), Yamaguchi, Japan",harmonics_ticon4_worldwide.txt,3.5,harmonics_utide_observations.txt,1.4,4.41
"Choshi Gyoko, Chiba, Japan",harmonics-2004-06-14_mod.txt,2.9,harmonics_utide_observations.txt,0.8,1.80
"Choshi Gyoko, Chiba, Japan",harmonics_ticon4_worldwide.txt,2.9,harmonics_utide_observations.txt,0.8,1.80
"Christmas Island, Australia",harmonics_att_np203_scs.txt,11.1,harmonics_utide_observations.txt,9.3,1.53
"Clarenville, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.6,harmonics_utide_tidetables.txt,1.1,1.29
"Clarks Harbour, Nova Scotia, Canada",harmonics_utide_tidetables.txt,9.4,harmonics-2004-06-14_mod.txt,9.2,3.08
"Tofino, British Columbia, Canada",harmonics_utide_observations.txt,3.9,harmonics_utide_tidetables.txt,2.5,3.86
"Indian Harbour, Nova Scotia, Canada",harmonics-2004-06-14_mod.txt,7.0,harmonics-2004-06-14_mod.txt,6.3,1.78
"Cliff Cove, Nova Scotia, Canada",harmonics_utide_tidetables.txt,7.2,harmonics-2004-06-14_mod.txt,6.3,1.78
"Conakry, Guinea",harmonics_att_np208.txt,10.0,harmonics-1997-05-25_mod.txt,7.7,3.68
"Coquimbo, Chile",harmonics_noaa_amtt.txt,8.1,harmonics-1997-05-25_mod.txt,5.3,1.72
"Cormorant (underwater), New Brunswick, Canada",harmonics-2004-06-14_mod.txt,1.8,harmonics_utide_tidetables.txt,1.2,1.57
"Corner Brook, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.7,harmonics_utide_tidetables.txt,1.2,1.96
"Couteau Bay, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.7,harmonics_utide_tidetables.txt,1.3,1.82
"Cromer, England, United Kingdom",harmonics_utide_observations.txt,9.2,harmonics_ticon4_worldwide.txt,6.7,5.57
"Cuxhaven (Steubenhöft), Germany",harmonics-dwf-20070318_mod.txt,37.1,harmonics_utide_observations.txt,35.6,4.17
"Henslung Cove, British Columbia, Canada",harmonics_utide_observations.txt,4.0,harmonics_utide_tidetables.txt,3.2,4.84
"Dark Cove, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.9,harmonics_utide_tidetables.txt,1.0,1.35
"Darrell Bay, British Columbia, Canada",harmonics_utide_observations.txt,5.7,harmonics_utide_tidetables.txt,3.5,4.78
"Davao, Philippines",harmonics_utide_observations.txt,8.8,harmonics_ticon4_worldwide.txt,8.7,2.30
"Deal, England, United Kingdom",harmonics_ticon4_worldwide.txt,11.1,harmonics_literature.txt,10.3,6.34
"Deal, England, United Kingdom",harmonics_utide_observations.txt,10.6,harmonics_literature.txt,10.3,6.34
"Deschaillons-sur-Saint-Laurent, Québec, Canada",harmonics_utide_observations.txt,19.8,harmonics_utide_tidetables.txt,17.7,2.30
"Deshimatsu, Yamaguchi, Japan",harmonics_utide_observations.txt,13.5,harmonics_ticon4_worldwide.txt,13.1,2.54
"Digges Harbour, Nunavut, Canada",harmonics_utide_tidetables.txt,5.5,harmonics-2004-06-14_mod.txt,5.4,3.13
"Douala (Cameroon River), Cameroon",harmonics_att_np208.txt,15.0,harmonics-1997-05-25_mod.txt,14.8,2.61
"Dunkerque, France",harmonics_noaa_eutt.txt,41.0,harmonics_utide_observations.txt,19.4,5.99
"Durban, South Africa",harmonics_utide_observations.txt,8.9,harmonics_ticon4_worldwide.txt,8.7,2.16
"East Quoddy Head, New Brunswick, Canada",harmonics-2004-06-14_mod.txt,6.2,harmonics_utide_tidetables.txt,5.9,6.78
"Eastmain River, Québec, Canada",harmonics-2004-06-14_mod.txt,1.4,harmonics_utide_tidetables.txt,0.7,1.01
"Eider-Sperrwerk (Binnenpegel), Germany",harmonics_ticon4_worldwide.txt,49.7,harmonics_utide_observations.txt,49.2,3.05
"El Porvenir, Panama",harmonics_utide_observations.txt,4.6,harmonics_ticon4_worldwide.txt,4.2,0.60
"Emden (Neue Seeschleuse), Germany",harmonics-dwf-20070318_mod.txt,35.6,harmonics_utide_observations.txt,33.8,4.48
"Uchiura, Shizuoka, Japan",harmonics_ticon4_worldwide.txt,2.5,harmonics_utide_observations.txt,1.1,1.92
"Esashi (Hiyama), Hokkaido, Japan",harmonics_ticon4_worldwide.txt,1.7,harmonics_utide_observations.txt,1.0,0.66
"Esashi, Hokkaido, Japan",harmonics_ticon4_worldwide.txt,2.5,harmonics_utide_observations.txt,1.4,1.26
"Esbjerg, Denmark",harmonics_ticon4_worldwide.txt,44.0,harmonics_utide_observations.txt,43.5,2.35
"Esperanza (Hope Bay, Antarctica), Antártida Argentina, Argentina",harmonics_ticon4_worldwide.txt,12.9,harmonics_utide_observations.txt,12.8,3.50
"Fairview Terminal, British Columbia, Canada",harmonics_utide_observations.txt,6.2,harmonics_utide_tidetables.txt,4.8,6.99
"Farewell, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.5,harmonics_utide_tidetables.txt,1.0,1.44
"Felixstowe, England, United Kingdom",harmonics_utide_observations.txt,7.1,harmonics_ticon4_worldwide.txt,7.1,4.28
"Fermeuse, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.7,harmonics_utide_tidetables.txt,1.0,1.53
"Flat Island, Nova Scotia, Canada",harmonics-2004-06-14_mod.txt,6.4,harmonics_utide_tidetables.txt,5.5,3.73
"Flower's Cove, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.5,harmonics_utide_tidetables.txt,1.0,1.27
"Ford Harbour, Labrador, Canada",harmonics-2004-06-14_mod.txt,2.1,harmonics_utide_tidetables.txt,1.8,2.34
"Fort Dension, New South Wales, Australia",harmonics_ticon4_worldwide.txt,9.5,harmonics_utide_observations.txt,9.5,1.89
"Fort-de-France, Martinique",harmonics_utide_observations.txt,5.0,harmonics_utide_observations.txt,5.0,0.59
"Fourchu, Nova Scotia, Canada",harmonics-2004-06-14_mod.txt,2.6,harmonics_utide_tidetables.txt,1.8,1.47
"Franklin Bay, Northwest Territories, Canada",harmonics-2004-06-14_mod.txt,0.9,harmonics_utide_tidetables.txt,0.3,0.40
"Fukaura, Aomori, Japan",harmonics_ticon4_worldwide.txt,1.2,harmonics_utide_observations.txt,0.8,0.59
"Fukue (Fukue-jima), Nagasaki, Japan",harmonics_ticon4_worldwide.txt,3.3,harmonics_utide_observations.txt,1.0,3.40
"Fukuoka (Hakata), Fukuoka, Japan",harmonics_ticon4_worldwide.txt,2.6,harmonics_utide_observations.txt,0.9,2.50
"Fukushima (Yoshioka), Hokkaido, Japan",harmonics_ticon4_worldwide.txt,1.9,harmonics_utide_observations.txt,0.4,0.97
"Futo (Ito), Shizuoka, Japan",harmonics_ticon4_worldwide.txt,2.6,harmonics_utide_observations.txt,1.1,1.83
"Gaspé, Québec, Canada",harmonics-2004-06-14_mod.txt,5.8,harmonics-2004-06-14_mod.txt,5.8,1.71
"Gibsons, British Columbia, Canada",harmonics-1997-05-25_mod.txt,5.8,harmonics_utide_tidetables.txt,3.0,4.81
"Gibsons, British Columbia, Canada",harmonics-2004-06-14_mod.txt,5.8,harmonics_utide_tidetables.txt,3.0,4.81
"Gobo, Wakayama, Japan",harmonics_ticon4_worldwide.txt,2.5,harmonics_utide_observations.txt,1.7,2.30
"Gonoura, Nagasaki, Japan",harmonics_ticon4_worldwide.txt,2.5,harmonics_utide_observations.txt,1.2,2.75
"Goodwood River, Prince Edward Island, Canada",harmonics_utide_tidetables.txt,2.0,harmonics-2004-06-14_mod.txt,1.1,1.25
"Gqeberha (Port Elizabeth), South Africa",harmonics_noaa_cptt.txt,14.5,harmonics_utide_observations.txt,12.3,1.77
"Greely Fiord, Nunavut, Canada",harmonics_utide_tidetables.txt,1.4,harmonics-2004-06-14_mod.txt,1.3,0.38
"Grise Fiord, Nunavut, Canada",harmonics-2004-06-14_mod.txt,4.5,harmonics_utide_tidetables.txt,3.2,3.51
"Guantanamo Bay (US Naval Base), Cuba",harmonics_ticon4_worldwide.txt,6.1,harmonics_utide_observations.txt,6.0,0.64
"Gull Island, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.3,harmonics_utide_tidetables.txt,1.0,1.43
"Ha Tien, Tien Giang, Vietnam",harmonics_noaa_cptt.txt,16.2,harmonics_utide_tidetables.txt,14.0,1.24
"Hachinohe, Aomori, Japan",harmonics_ticon4_worldwide.txt,2.7,harmonics_utide_observations.txt,0.9,1.67
"Haedomari, Yamaguchi, Japan",harmonics_ticon4_worldwide.txt,1.9,harmonics_utide_observations.txt,1.1,1.88
"Hakodate, Hokkaido, Japan",harmonics_ticon4_worldwide.txt,1.7,harmonics_utide_observations.txt,1.2,1.17
"Halifax, Nova Scotia, Canada",harmonics_ticon4_worldwide.txt,5.6,harmonics_utide_tidetables.txt,4.7,2.02
"Hamada, Shimane, Japan",harmonics_ticon4_worldwide.txt,1.2,harmonics_utide_observations.txt,0.8,0.90
"Hamilton Island, Nunavut, Canada",harmonics-2004-06-14_mod.txt,1.3,harmonics_utide_tidetables.txt,0.5,0.74
"Hammerfest, Norway",harmonics_utide_observations.txt,15.9,harmonics_ticon4_worldwide.txt,15.2,3.23
"Hanasaki, Hokkaido, Japan",harmonics_ticon4_worldwide.txt,2.9,harmonics_utide_observations.txt,1.1,1.80
"Harstad, Norway",harmonics_utide_observations.txt,15.5,harmonics_ticon4_worldwide.txt,14.9,2.64
"Hartley Bay, British Columbia, Canada",harmonics_utide_observations.txt,5.6,harmonics_utide_tidetables.txt,4.0,5.92
"Harwich, England, United Kingdom",harmonics_ticon4_worldwide.txt,8.3,harmonics-dwf-20100529-nonfree_mod.txt,8.2,4.52
"Hashihama, Ehime, Japan",harmonics-2004-06-14_mod.txt,10.4,harmonics_utide_observations.txt,7.7,4.25
"Hastings, England, United Kingdom",harmonics_literature.txt,13.5,harmonics_utide_observations.txt,12.2,8.08
"Hastings, England, United Kingdom",harmonics_ticon4_worldwide.txt,14.3,harmonics_utide_observations.txt,12.2,8.08
"Hatfield Point, New Brunswick, Canada",harmonics_utide_tidetables.txt,1.6,harmonics-2004-06-14_mod.txt,1.6,0.94
"Heimsjøen, Norway",harmonics_utide_observations.txt,16.7,harmonics_ticon4_worldwide.txt,16.1,2.91
"Helgoland, Germany",harmonics-dwf-20070318_mod.txt,32.5,harmonics_utide_observations.txt,30.5,3.48
