# IH Tabela de Mares Vol. I 2026, S. 3-2/3-3 "Concordancias de mares para locais proximos dos portos principais"
# vom Seitenbild abgelesen (14.09.2026). Zeiten in Minuten (PM = Hochwasser, BM = Niedrigwasser,
# AM = Nipptide, AV = Springtide), Hoehenkorrekturen in m, Relacao de amplitude AM/AV.
# Leer = im Buch nicht angegeben. Ueber mehrere Spalten gedruckte Werte (ein Wert fuer alle) stehen in jeder Spalte.
# Zeilen typ=STD: Standardhafen mit den veroeffentlichten Pegeln PMAM PMAV BMAM BMAV (= NM +-M2 +-S2).
# lat/lon dezimal (N positiv, E positiv).
typ	bezug	name	lat	lon	nm	t_pm_am	t_pm_av	t_bm_am	t_bm_av	h_pm_am	h_pm_av	h_bm_am	h_bm_av	r_am	r_av
STD	FARO-OLHÃO	Faro-Olhão	36.9782	-7.8662	2.00					2.64	3.33	1.36	0.67	
SEC	FARO-OLHÃO	Barra do Ancão	36.9800	-7.9483	2.00	3	9	-3	13	-0.04	-0.07	-0.04	0.06		
SEC	FARO-OLHÃO	Faro (Cais Comercial)	37.0033	-7.9217	2.00	21	24	4	6	0.02	0.02	-0.05	-0.05		
SEC	FARO-OLHÃO	Olhão (Cais da Lota)	37.0233	-7.8383	2.00	0	2	5	18	-0.04	-0.04	-0.06	-0.09		
SEC	FARO-OLHÃO	Barra de Armona	37.0083	-7.8033	2.00	-17	-23	-8	-4	-0.01	-0.02	0.02	0.03		
SEC	FARO-OLHÃO	Barra de Tavira	37.1150	-7.6183	2.00	-9	-11	-4	-12	0.01	-0.03	0	0.05		
SEC	FARO-OLHÃO	Barra de Cacela	37.1450	-7.5733	2.00	-39	-36	27	23	0.02	-0.03	0.03	0.21		
STD	FUNCHAL	Funchal	32.6440	-16.9130	1.40					1.85	2.37	0.95	0.43	
SEC	FUNCHAL	Porto Moniz	32.8650	-17.3317	1.40	13	13	13	13					1.09	1.09
SEC	FUNCHAL	Porto da Cruz	32.7733	-16.8250	1.40	16	16	16	16					1.11	1.11
SEC	FUNCHAL	Machico	32.7167	-16.7583	1.40	0	0	0	0					0.98	0.98
SEC	FUNCHAL	Porto Santo	33.0550	-16.3100	1.40	2	6	6	10					1.06	1.06
SEC	FUNCHAL	Desertas	32.5100	-16.5100	1.40	0	0	0	0						
SEC	FUNCHAL	Selvagem Grande	30.1383	-15.8683	1.40	1	1	1	1					1.08	1.08
STD	ANGRA DO HEROÍSMO	Angra do Heroísmo	38.6498	-27.2223	1.00					1.28	1.61	0.72	0.39	
SEC	ANGRA DO HEROÍSMO	Praia da Vitória	38.7300	-27.0533	1.00	11	11	11	11					1.10	1.10
SEC	ANGRA DO HEROÍSMO	Santa Cruz (Graciosa)	39.0833	-27.9983	1.00	11	11	11	11					1.08	1.08
STD	HORTA	Horta	38.5332	-28.6207	1.00					1.27	1.57	0.73	0.43	
SEC	HORTA	Topo (S. Jorge)	38.5417	-27.7600	1.00	5	5	5	5					1.07	1.07
SEC	HORTA	Norte Grande (S. Jorge)	38.6783	-28.0583	1.00	25	25	25	25					1.11	1.11
SEC	HORTA	Velas (S. Jorge)	38.6783	-28.2050	1.00	7	7	7	7					1.08	1.08
SEC	HORTA	Madalena do Pico (Pico)	38.5350	-28.5300	1.00	-7	4	-2	7					1.06	1.04
SEC	HORTA	Calheta (S. Jorge)	38.6000	-28.0117	1.00	6	6	6	6					1.07	1.07
SEC	HORTA	S. António (Pico)	38.5367	-28.3367	1.00	0	0	0	0					1.13	1.13
SEC	HORTA	Lajes (Pico)	38.3983	-28.2567	1.00	0	0	0	0					1.03	1.03
SEC	HORTA	Porto do Cais (Pico)	38.5317	-28.3217	1.00	28	28	28	28					1.05	1.05
SEC	HORTA	Castelo Branco (Faial)	38.5283	-28.7517	1.00	-18	-18	-18	-18					0.95	0.95
SEC	HORTA	Salão (Faial)	38.6283	-28.6617	1.00	-6	-6	-6	-6					1.02	1.02
STD	LAJES DAS FLORES	Lajes das Flores	39.3785	-31.1687	1.00					1.24	1.50	0.76	0.50	
SEC	LAJES DAS FLORES	Santa Cruz das Flores	39.4547	-31.1242	1.00	-4	-6	-3	-3	0	0	0	-0.03	0.98	0.98
SEC	LAJES DAS FLORES	Corvo	39.6668	-31.1008	1.00	-1	-3	0	0					1.00	1.00
