name,fS,fN,rM,rS,rD,wahr_km,alt_pct,neu_pct,entscheidung
"Jamestown (Mbo River), Nigeria",1.0,1.11,0.964,1.127,0.948,,,,schreiben (Gruppenbeleg NP208)
"James Island (Cross River), Nigeria",1.27,1.21,1.016,0.953,1.024,,,,schreiben (Gruppenbeleg NP208)
"Calabar (Calabar River), Nigeria",1.37,1.42,0.988,1.039,0.982,0.0,3.46,3.44,schreiben
"Inikoi Island (Akwayafe River,) Cameroon",1.32,1.11,1.056,0.86,1.086,,,,schreiben (Gruppenbeleg NP208)
"Rio del Rey Entrance, Cameroon",1.16,1.11,1.015,0.958,1.022,,,,schreiben (Gruppenbeleg NP208)
"Bimbia River Entrance, Cameroon",0.9,0.73,1.07,0.824,1.104,,,,schreiben (Gruppenbeleg NP208)
"Tiko, Cameroon",1.0,0.82,1.067,0.83,1.099,,,,schreiben (Gruppenbeleg NP208)
"Manoka, Cameroon",1.05,1.0,1.017,0.948,1.024,,,,schreiben (Gruppenbeleg NP208)
"Malimba (Sanage River mouth), Cameroon",0.66,0.64,1.011,0.967,1.015,,,,schreiben (Gruppenbeleg NP208)
"Kribi, Cameroon",0.85,1.0,0.942,1.25,0.919,,,,schreiben (Gruppenbeleg NP208)
"Malabo (Santa Isabel), Equatorial Guinea",0.81,0.73,1.036,0.898,1.052,,,,schreiben (Gruppenbeleg NP208)
"Santo António (Ilha do Príncipe), São Tomé and Príncipe",0.76,0.64,1.058,0.847,1.086,0.0,7.93,8.25,behalten
"São Tomé (Baía de Ana Chaves), São Tomé and Príncipe",0.76,0.73,1.014,0.957,1.02,0.0,8.05,8.14,schreiben
"Annobón, Equatorial Guinea",0.52,0.05,1.475,0.471,1.825,,,,schreiben (Gruppenbeleg NP208)
"Mbini (Rio Benito), Equatorial Guinea",0.62,0.52,1.054,0.876,1.088,,,,schreiben (Gruppenbeleg NP208)
"Cap Estérias, Gabon",1.0,0.88,1.042,0.89,1.064,,,,schreiben (Gruppenbeleg NP208)
"Port-Gentil, Gabon",0.8,0.56,1.102,0.806,1.176,0.0,6.67,5.85,schreiben
"Mayumba, Gabon",0.67,0.26,1.237,0.662,1.441,,,,schreiben (Gruppenbeleg NP208)
"Pointe de Bulabemba, Democratic Republic of the Congo",1.08,0.85,1.077,0.823,1.119,,,,schreiben (Gruppenbeleg NP208)
"Ilha da Quissanga, Angola",0.84,0.69,1.063,0.848,1.098,,,,schreiben (Gruppenbeleg NP208)
"Pass Mateba, Democratic Republic of the Congo",0.38,0.05,1.416,0.524,1.767,,,,schreiben (Gruppenbeleg NP208)
"Porto Amboim, Angola",0.92,0.85,1.026,0.929,1.04,,,,schreiben (Gruppenbeleg NP208)
"Benguela, Angola",0.92,0.83,1.034,0.91,1.051,,,,schreiben (Gruppenbeleg NP208)
"Baía dos Elefantes, Angola",0.92,0.83,1.034,0.91,1.051,,,,schreiben (Gruppenbeleg NP208)
"Baía de Santa Marta, Angola",0.92,0.83,1.034,0.91,1.051,,,,schreiben (Gruppenbeleg NP208)
"Moçâmedes (Namibe), Angola",0.92,0.83,1.034,0.91,1.051,0.0,3.4,3.14,schreiben
"Baía dos Tigres, Angola",0.92,0.83,1.034,0.91,1.051,,,,schreiben (Gruppenbeleg NP208)
"Swakopmund, Namibia",0.78,1.16,0.868,1.691,0.804,,,,schreiben (Gruppenbeleg NP208)
