name,bezug,lat,lon,satzname,standard,grundsatz,grund_cm,art,cm,hw,nw,bestand,entscheidung,grund,loeschen,loeschen_n,fes
Montijo,LISBOA,38.69,-9.0483,"Montijo, Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,5.1,0,0,"harmonics_att_np208_secondary.txt|Montijo, Portugal [- 3.8 km] Tafel 9.1 cm -6/-8, Kurve 2.2 %",neu,,"harmonics_att_np208_secondary.txt|Montijo, Portugal [- 3.8 km] Tafel 9.1 cm -6/-8, Kurve 2.2 %",1,
Seixal,LISBOA,38.65,-9.0767,"Seixal, Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,5.3,0,0,,neu,,,0,
Cais da Matinha,LISBOA,38.75,-9.0933,"Cais da Matinha (Lisboa), Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,4.9,0,0,,neu,,,0,
Cabo Ruivo,LISBOA,38.7567,-9.0917,"Cabo Ruivo (Lisboa), Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,5.3,0,0,,neu,,,0,
Alcochete,LISBOA,38.7567,-8.965,"Alcochete, Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,5.1,0,0,"harmonics_att_np208.txt|Alcochete, Portugal [A 0.1 km] Tafel 10.1 cm -9/+17, Kurve 2.4 %",nicht,"Bestand am Ort gleichwertig: harmonics_att_np208.txt|Alcochete, Portugal",,,
Ponta da Erva,LISBOA,38.8333,-8.9667,"Ponta da Erva (Rio Tejo), Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,5.2,0,0,,neu,,,0,
VALORSUL,LISBOA,38.8283,-9.0817,"Valorsul (Bobadela), Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,5.1,0,0,,neu,,,0,
Póvoa de Santa Iria,LISBOA,38.8567,-9.0617,"Póvoa de Santa Iria, Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,4.8,0,0,,neu,,,0,
CIMPOR,LISBOA,38.9217,-9.0083,"CIMPOR (Alhandra), Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,5.3,1,1,,neu,,,0,
Vila Franca de Xira,LISBOA,38.9433,-8.9933,"Vila Franca de Xira, Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,6.3,1,-1,"harmonics_att_np208.txt|Vila Franca de Xira (Rio Tejo), Portugal [A 1.1 km] Tafel 12.7 cm +4/-12, Kurve 3.8 %",nicht,"Bestand am Ort gleichwertig: harmonics_att_np208.txt|Vila Franca de Xira (Rio Tejo), Portugal",,,
