datei,name,fehler_prozent,begruendung
harmonics/noaa/harmonics_noaa_amtt.txt,"St. Barbe Bay, Canada",10.2,"An der Tafel St. Barbe: 10.2 % des Hubs von 1.43 m gegen 0.4 % von ""St. Barbe, Newfoundland, Canada"" (harmonics_utide_tidetables.txt), 642 m entfernt. Faktor 28.5, Kurvenabweichung 13 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Norton Island, Nunavut, Canada",8.2,"An der Tafel Norton Island: 8.2 % des Hubs von 2.29 m gegen 0.3 % von ""Norton Island, Nunavut, Canada"" (harmonics_utide_tidetables.txt), 2 m entfernt. Faktor 28.1, Kurvenabweichung 37 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Hall Beach, Foxe Basin, Canada",14.3,"An der Tafel Sanirajak: 14.3 % des Hubs von 1.34 m gegen 0.5 % von ""Hall Beach, Foxe Basin, Nunavut, Canada"" (harmonics-2004-06-14_mod.txt), 0 m entfernt. Faktor 27.8, Kurvenabweichung 25 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Sidney, Haro Strait, Canada",18.3,"An der Tafel Sidney: 18.3 % des Hubs von 3.52 m gegen 0.7 % von ""Sidney, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 529 m entfernt. Faktor 27.8, Kurvenabweichung 38 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Port Saunders, Canada",4.4,"An der Tafel Port Saunders: 4.4 % des Hubs von 2.07 m gegen 0.2 % von ""Port Saunders, Newfoundland, Canada"" (harmonics_utide_tidetables.txt), 699 m entfernt. Faktor 27.5, Kurvenabweichung 14 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Hebron, Hebron Fjord, Canada",9.7,"An der Tafel Hebron: 9.7 % des Hubs von 2.21 m gegen 0.4 % von ""Hebron, Labrador, Canada"" (harmonics_utide_tidetables.txt), 489 m entfernt. Faktor 27.5, Kurvenabweichung 19 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Partridge Island, New Brunswick, Canada",1.3,"An der Tafel Partridge Island: 1.3 % des Hubs von 8.33 m gegen 0.0 % von ""Partridge Island, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 27.5, Kurvenabweichung 0 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Degnen Bay, British Columbia, Canada",3.4,"An der Tafel Degnen Bay: 3.4 % des Hubs von 3.94 m gegen 0.1 % von ""Degnen Bay, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 4 m entfernt. Faktor 27.0, Kurvenabweichung 3 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Sandwich Bay (East Arm), Labrador, Canada",5.5,"An der Tafel Sandwich Bay (East Arm): 5.5 % des Hubs von 1.33 m gegen 0.2 % von ""Sandwich Bay (East Arm), Labrador, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 26.3, Kurvenabweichung 9 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Hopes Advance Bay, Québec, Canada",1.2,"An der Tafel Hopes Advance Bay: 1.2 % des Hubs von 11.64 m gegen 0.0 % von ""Hopes Advance Bay, Québec, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 25.4, Kurvenabweichung 0 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Wainwright Basin, British Columbia, Canada",13.5,"An der Tafel Wainwright Basin: 13.5 % des Hubs von 5.28 m gegen 0.5 % von ""Wainwright Basin, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 25.0, Kurvenabweichung 21 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Agvik Island, Québec, Canada",1.9,"An der Tafel Agvik Island: 1.9 % des Hubs von 10.82 m gegen 0.1 % von ""Agvik Island, Québec, Canada"" (harmonics_utide_tidetables.txt), 4 m entfernt. Faktor 24.8, Kurvenabweichung 4 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Nain, Canada",10.5,"An der Tafel Nain: 10.5 % des Hubs von 2.54 m gegen 0.4 % von ""Nain, Labrador, Canada"" (harmonics_utide_tidetables.txt), 754 m entfernt. Faktor 24.6, Kurvenabweichung 17 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"La Romaine (Gethsémani), Québec, Canada",5.7,"An der Tafel Gethsémani: 5.7 % des Hubs von 1.56 m gegen 0.2 % von ""La Romaine (Gethsémani), Québec, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 24.5, Kurvenabweichung 6 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Matane, Canada",8.1,"An der Tafel Matane: 8.1 % des Hubs von 3.94 m gegen 0.3 % von ""Matane, Québec, Canada"" (harmonics_utide_tidetables.txt), 371 m entfernt. Faktor 23.9, Kurvenabweichung 22 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Pointe-Au-Pic, Québec, Canada",3.0,"An der Tafel Pointe-au-Pic: 3.0 % des Hubs von 6.07 m gegen 0.1 % von ""Pointe-au-Pic, Québec, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 23.7, Kurvenabweichung 3 %."
