name_a,name_b,begruendung,km,kurve_prozent,dt_h,guete,namensueberlappung,spur,haufen,datei_a,datei_b,Neuer gemeinsamer Name
"Hachijoshima(konominato), Tokyo, Japan","Kaminato Hakuchi, Hachijo Jima, Tokyo, Japan",,0.00,9.0,+0.22,1000,0.33,N,1090,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"IJGeul, 1, Netherlands","IJmuiden Stroommeetpaal, Netherlands",,0.00,9.4,+0.42,1000,0.00,N,980,harmonics_utide_observations.txt,harmonics_ticon4_worldwide.txt,
"Maasmond Stroommeetpaal, Netherlands","Maasmond, stroommeetpaal, Netherlands",,0.00,9.6,-0.42,1000,1.00,N,1379,harmonics_ticon4_worldwide.txt,harmonics_utide_observations.txt,
"Île d'Aix, France","Île-d'Aix, France",,0.01,0.2,+0.00,1000,1.00,N,2845,harmonics_utide_tidetables.txt,harmonics_ticon4_worldwide.txt,
"Sonora, Nova Scotia, Canada","Sonora, St. Mary River, Nova Scotia, Canada",,0.01,0.7,+0.00,1000,1.00,N,2381,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
"Stornoway (Isle of Lewis), Scotland, United Kingdom","Stornoway (Isle of Lewis), Scotland, United Kingdom (2)",,0.01,1.2,-0.02,1000,1.00,N,2431,harmonics_utide_observations.txt,harmonics_utide_observations.txt,
"Kimmirut (Lake Harbour), Nunavut, Canada","Kimmirut, Nunavut, Canada",,0.01,1.6,-0.07,1000,1.00,N,1150,harmonics_ticon4_worldwide.txt,harmonics_utide_tidetables.txt,
"Tubuai, Austral Islands, French Polynesia (2)","Tubuai, Austral Islands, French Polynesia (3)",,0.01,2.6,+0.12,1000,1.00,N,2646,harmonics_ticon4_worldwide.txt,harmonics_ticon4_worldwide.txt,
"Andoany (Hellville), Madagascar","Andoany / Hell-Ville (Nosy Be), Madagascar",,0.01,3.5,+0.15,1000,0.50,N,51,harmonics_att_np203_secondary.txt,harmonics_utide_observations.txt,
"Immingham (Humberside), England, United Kingdom","Immingham, England, United Kingdom",,0.01,3.7,-0.12,999,1.00,N,1001,harmonics_utide_observations.txt,harmonics_utide_tidetables.txt,
"Point Danger (Snapper Rocks), New South Wales, Australia","Snapper Rocks, Queensland, Australia",,0.01,3.7,-0.07,998,0.67,N,1881,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Avonmouth (Port of Bristol), England, United Kingdom","Port Of Bristol (Avonmouth), England, United Kingdom",,0.01,4.4,-0.17,996,1.00,N,111,harmonics_utide_observations.txt,harmonics_utide_tidetables.txt,
"Les Sables d'Olonne, France","Les Sables-d'Olonne, France",,0.02,0.1,+0.00,1000,1.00,N,1312,harmonics_utide_tidetables.txt,harmonics_utide_observations.txt,
