Quelle;Station;Typ;Lat;Lon;Referenz-Quelle;Referenz-Station;Match-Typ;Distanz_km;Ø_Zeitdiff_min;Ø_Höhendiff_m;N_Events;Status
Classic 1997;Malecón, Isla de Zapara, Venezuela;Ref;10.9802;-71.5758;;;;;;;;Keine Referenz gefunden
Classic 1997;Malhado, Brazil;Ref;-14.7667;-39.0167;;;;;;;;Keine Referenz gefunden
Classic 1997;Mali Losinj, Croatia;Ref;44.5333;14.4667;;;;;;;;Keine Referenz gefunden
Classic 1997;Malindi, Kenya;Ref;-3.2147;40.1265;;;;;;;;Keine Referenz gefunden
Classic 1997;Man O' War Bay, Cameroon;Ref;3.9609;9.2194;;;;;;;;Keine Referenz gefunden
Classic 1997;Manado, Sulawesi, Indonesia;Ref;1.4979;124.8383;;;;;;;;Keine Referenz gefunden
Classic 1997;Mangalore, India;Ref;12.85;74.8333;;;;;;;;Keine Referenz gefunden
Classic 1997;Margate, England, United Kingdom;Ref;51.3908;1.3781;;;;;;;;Keine Referenz gefunden
Classic 1997;Marmagao, India;Ref;15.4167;73.8;;;;;;;;Keine Referenz gefunden
Classic 1997;Massawa, Eritrea;Ref;15.6144;39.4743;;;;;;;;Keine Referenz gefunden
Classic 1997;Matamoros, Tamaulipas, México;Ref;25.8833;-97.5167;;;;;;;;Keine Referenz gefunden
Classic 1997;Meaipe, Brazil;Ref;-20.75;-40.5333;;;;;;;;Keine Referenz gefunden
Classic 1997;Melchior Harbour, Antarctica;Ref;-64.3363;-62.9575;;;;;;;;Keine Referenz gefunden
Classic 1997;Mergui, Myanmar;Ref;12.4333;98.6;;;;;;;;Keine Referenz gefunden
Classic 1997;Mina Al Ahmadi, Kuwait;Ref;29.0667;48.1667;;;;;;;;Keine Referenz gefunden
Classic 1997;Mina Su`ud, Kuwait;Ref;28.7333;48.4;;;;;;;;Keine Referenz gefunden
Classic 1997;Mina Zayed, United Arab Emirates;Ref;24.5167;54.3833;;;;;;;;Keine Referenz gefunden
Classic 1997;Mindelo (Porto Grande Bay), São Vicente, Cape Verde;Ref;16.8868;-24.9932;;;;;;;;Keine Referenz gefunden
Classic 1997;Minicoy Island, Lakshadweep, India;Ref;8.2833;73.05;;;;;;;;Keine Referenz gefunden
Classic 1997;Minjiang Kou (Fuzhou), China;Ref;26.0728;119.6523;;;;;;;;Keine Referenz gefunden
Classic 1997;Mirleft (Plage Tamhrouchte), Morocco;Ref;29.5505;-10.0627;;;;;;;;Keine Referenz gefunden
Classic 1997;Mizushima, Japan;Ref;34.5167;133.7333;;;;;;;;Keine Referenz gefunden
Classic 1997;Mo i Rana, Norway;Ref;66.3167;14.1333;;;;;;;;Keine Referenz gefunden
Classic 1997;Mocímboa da Praia, Moçambique;Ref;-11.3365;40.362;;;;;;;;Keine Referenz gefunden
Classic 1997;Moen Island, Chuuk, Micronesia;Ref;7.4467;151.8467;DWF 2025;Chuuk, Moen Island, E. Caroline Islands, FSM;Proximity (0.0km);0.0;-0.9;0.006;7;OK
Classic 1997;Mogadishu, Somalia;Ref;2.0333;45.35;;;;;;;;Keine Referenz gefunden
Classic 1997;Mokp'o, South Korea;Ref;34.7833;126.3833;;;;;;;;Keine Referenz gefunden
Classic 1997;Mombasa (Kilindini Harbour), Kenya;Ref;-4.07;39.6573;TICON4;Mombasa (Kilindini Harbour), Kenya;Name;0.0;182.0;1.873;3;OK
Classic 1997;Monrovia, Liberia;Ref;6.3333;-10.8;;;;;;;;Keine Referenz gefunden
Classic 1997;Monte Hermoso, Argentina;Ref;-38.9912;-61.3161;;;;;;;;Keine Referenz gefunden
Classic 1997;Montevideo, Uruguay;Ref;-34.9167;-56.2167;;;;;;;;Keine Referenz gefunden
Classic 1997;Mosqueiro, Brazil;Ref;-1.1653;-48.4742;;;;;;;;Keine Referenz gefunden
Classic 1997;Motuoini, Tahiti;Ref;-17.75;-140.3667;;;;;;;;Keine Referenz gefunden
Classic 1997;Mtwara, Tanzania;Ref;-10.2667;40.2;;;;;;;;Keine Referenz gefunden
Classic 1997;Mucuripe, Fortaleza, Ceará, Brazil;Ref;-3.715;-38.4767;TICON4;Fortaleza, Brazil;Proximity (1.1km);1.1;-112.0;1.117;3;OK
