Ortsname;Bundesstaat/Region;Land;Latitude;Longitude;Zeitzone;Löschgrund
Port Townsend, Washington (3);;Washington;48,1333;-122,7667;-08:00 :America/Los_Angeles;US State: Washington
Port Washington, Manhasset Bay, Long Island Sound, New York;Long Island Sound;New York;40,8333;-73,7000;-05:00 :America/New_York;US State: New York
Portland, Maine;;Maine;43,6567;-70,2467;-05:00 :America/New_York;US State: Maine
Portsmouth Harbor Entrance, New Hampshire Current;;New Hampshire Current;43,0667;-70,7000;-05:00 :America/New_York;US State: New Hampshire
Portsmouth, Norfolk Naval Shipyard, Virginia;Norfolk Naval Shipyard;Virginia;36,8217;-76,2933;-5:00 :America/New_York;US State: Virginia
President Channel, Orcas Island, Washington;Orcas Island;Washington;48,6550;-123,0083;-08:00 :America/Los_Angeles;US State: Washington
Providence, Rhode Island;;Rhode Island;41,8067;-71,4017;-05:00 :America/New_York;US State: Rhode Island
Provincetown, Massachusetts;;Massachusetts;42,0533;-70,1883;-05:00 :America/New_York;US State: Massachusetts
Prudhoe Bay, Alaska;;Alaska;70,4000;-148,5267;-9:00 :America/Anchorage;US State: Alaska
Prudhoe Bay, Dock #2, Alaska;Dock #2;Alaska;70,3883;-148,5100;-9:00 :America/Anchorage;US State: D.C.
Punta Gorda, Charlotte Harbor, Florida;Charlotte Harbor;Florida;26,9283;-82,0650;-5:00 :America/New_York;US State: Florida
Punta Tuna, Puerto Rico;;Puerto Rico;17,9900;-65,8850;-4:00 :America/Puerto_Rico;US Territory: Puerto Rico
Quicks Hole (middle), Massachusetts Current;;Massachusetts Current;41,4433;-70,8483;-5:00 :America/New_York;US State: Massachusetts
Red Bank, Navesink River, New Jersey;Navesink River;New Jersey;40,3550;-74,0650;-05:00 :America/New_York;US State: New Jersey
Red Bay Point, St. Johns River, Florida;St. Johns River;Florida;29,9850;-81,6300;-05:00 :America/New_York;US State: Florida
Redwood City, Wharf 5, California;Wharf 5;California;37,5067;-122,2100;-8:00 :America/Los_Angeles;US State: California
Redwood City, Wharf 5, California (2);Wharf 5;California;37,5067;-122,2100;-8:00 :America/Los_Angeles;US State: California
Redwood Creek, C.M. No.8, San Francisco Bay, California;San Francisco Bay;California;37,5333;-122,1933;-8:00 :America/Los_Angeles;US State: California
Reedy Point, Delaware;;Delaware;39,5583;-75,5733;-5:00 :America/New_York;US State: Delaware
Reedy Point, Delaware (2) (expired 1994-12-31);;Delaware(expired 1994-12-31);39,5617;-75,5667;-05:00 :America/New_York;US State: Delaware
Reservation Bay, Washington;;Washington;48,4167;-122,6667;-08:00 :America/Los_Angeles;US State: Washington
Reservation Bay, Washington (2);;Washington;48,4167;-122,6667;-08:00 :America/Los_Angeles;US State: Washington
Ribault River, Lake Forest, Florida;Lake Forest;Florida;30,3983;-81,6983;-5:00 :America/New_York;US State: Florida
Richmond, Chevron Oil Pier, California;Chevron Oil Pier;California;37,9283;-122,4000;-8:00 :America/Los_Angeles;US State: California
Rincon Island, California;;California;34,3483;-119,4433;-08:00 :America/Los_Angeles;US State: California
Rio Vista, Sacramento River, California;Sacramento River;California;38,1450;-121,6917;-8:00 :America/Los_Angeles;US State: California
Robinhood, Sasanoa River, Maine;Sasanoa River;Maine;43,8533;-69,7333;-5:00 :America/New_York;US State: Maine
Rockland, Penobscot River, Maine;Penobscot River;Maine;44,1050;-69,1017;-05:00 :America/New_York;US State: Maine
Rockport, Aransas Bay, Texas;Aransas Bay;Texas;28,0217;-97,0467;-06:00 :America/Chicago;US State: Texas
Rockport, Aransas Bay, Texas (2);Aransas Bay;Texas;28,0217;-97,0467;-6:00 :America/Chicago;US State: Texas
Rocky Point, Back River, Maryland;Back River;Maryland;39,2500;-76,4000;-5:00 :America/New_York;US State: Maryland
Rosario Strait, Washington Current;;Washington Current;48,4583;-122,7800;-08:00 :America/Los_Angeles;US State: Washington
Roses Bluff, Bells River, St. Marys River, Florida;St. Marys River;Florida;30,7033;-81,5767;-5:00 :America/New_York;US State: Florida
Sabine Pass, North, Texas;North;Texas;29,7300;-93,8700;-06:00 :America/Chicago;US State: Texas
Sabine Pass, Texas;;Texas;29,7067;-93,8533;-06:00 :America/Chicago;US State: Texas
Salem, Massachusetts;;Massachusetts;42,5183;-70,8867;-05:00 :America/New_York;US State: Massachusetts
Salisbury, Maryland (2 miles below) Current;;Maryland (2 miles below) Current;38,3400;-75,6383;-5:00 :America/New_York;US State: Maryland
Salisbury, Wicomico River, Chesapeake Bay, Maryland;Chesapeake Bay;Maryland;38,3650;-75,6067;-5:00 :America/New_York;US State: Maryland
San Diego Bay Entrance, California Current;;California Current;32,6817;-117,1733;-08:00 :America/Los_Angeles;US State: California
San Diego, California;;California;32,7133;-117,1733;-08:00 :America/Los_Angeles;US State: California
San Diego, California (2);;California;32,7170;-117,1670;-08:00 :America/Los_Angeles;US State: California
San Francisco Bay Entrance (Golden Gate), California Current;;California Current;37,8167;-122,4833;-08:00 :America/Los_Angeles;US State: California
San Francisco, California;;California;37,8067;-122,4650;-8:00 :America/Los_Angeles;US State: California
San Francisco, Pier 22 1/2, California;Pier 22 1/2;California;37,7900;-122,3867;-8:00 :America/Los_Angeles;US State: California
San Juan Channel (South Entrance), Washington Current;;Washington Current;48,4667;-122,9500;-08:00 :America/Los_Angeles;US State: Washington
San Juan, Puerto Rico;;Puerto Rico;18,4617;-66,1167;-04:00 :America/Puerto_Rico;US Territory: Puerto Rico
San Juan, Puerto Rico (3);;Puerto Rico;18,4617;-66,1150;-04:00 :America/Puerto_Rico;US Territory: Puerto Rico
San Luis Pass, Texas;;Texas;29,0950;-95,1133;-6:00 :America/Chicago;US State: Texas
Sand Island, Midway Islands;;Midway Islands;28,2117;-177,3600;-11:00 :Pacific/Midway;US Territory: Midway Island
Sand Key Lighthouse, Sand Key Channel, Florida;Sand Key Channel;Florida;24,4533;-81,8767;-05:00 :America/New_York;US State: Florida
Sand Point, Popof Island, Alaska;Popof Island;Alaska;55,3367;-160,5017;-09:00 :America/Anchorage;US State: Alaska
Sandy Hook, New Jersey;;New Jersey;40,4667;-74,0017;-5:00 :America/New_York;US State: New Jersey
Sandy Hook, New Jersey (2) (expired 1994-12-31);;New Jersey(expired 1994-12-31);40,4683;-74,0117;-05:00 :America/New_York;US State: New Jersey
Santa Barbara, California;;California;34,4083;-119,6850;-8:00 :America/Los_Angeles;US State: California
Santa Cruz, California;;California;36,9667;-122,0167;-08:00 :America/Los_Angeles;US State: California
Santa Monica, California;;California;34,0083;-118,5000;-08:00 :America/Los_Angeles;US State: California
Santa Monica, Municipal Pier, California;Municipal Pier;California;34,0067;-118,4983;-8:00 :America/Los_Angeles;US State: California
Sarasota, Sarasota Bay, Florida;Sarasota Bay;Florida;27,3317;-82,5450;-05:00 :America/New_York;US State: Florida
Sausalito, California;;California;37,8500;-122,4833;-08:00 :America/Los_Angeles;US State: California
Savannah (Bull Street), Georgia;;Georgia;32,0817;-81,0917;-05:00 :America/New_York;US State: Georgia
Savannah River Entrance, Georgia;;Georgia;32,0333;-80,9017;-05:00 :America/New_York;US State: Georgia
Savannah River Entrance, Georgia Current;;Georgia Current;32,0367;-80,8583;-05:00 :America/New_York;US State: Georgia
Savannah, Georgia (expired 1988-12-31);;Georgia (expired 1988-12-31);32,0800;-81,0817;-05:00 :America/New_York;US State: Georgia
Sea Girt, New Jersey;;New Jersey;40,1333;-74,0333;-05:00 :America/New_York;US State: New Jersey
Seattle, Washington;;Washington;47,6000;-122,3333;-08:00 :America/Los_Angeles;US State: Washington
Seattle, Washington (2);;Washington;47,6000;-122,3333;-08:00 :America/Los_Angeles;US State: Washington
Seavey Island (Back Channel), disputed waters, New England;disputed waters;New England;43,0833;-70,7317;-5:00 :America/New_York;US Timezone: America/New_York
Sebastian Inlet bridge, Indian River, Florida;Indian River;Florida;27,8600;-80,4483;-5:00 :America/New_York;US State: Florida
Sebastian, Indian River, Florida;Indian River;Florida;27,8117;-80,4650;-5:00 :America/New_York;US State: Florida
Secaucus, New Jersey;;New Jersey;40,7983;-74,0700;-05:00 :America/New_York;US State: New Jersey
Sekiu, Washington;;Washington;48,2667;-124,3000;-08:00 :America/Los_Angeles;US State: Washington
Seldovia, Alaska;;Alaska;59,4400;-151,7200;-9:00 :America/Anchorage;US State: Alaska
Seminole Shores, Florida;;Florida;27,1833;-80,1583;-5:00 :America/New_York;US State: Florida
Sergius Narrows, Peril Strait, Alaska Current;Peril Strait;Alaska Current;57,4067;-135,6267;-9:00 :America/Anchorage;US State: Alaska
Seward, Resurrection Bay, Alaska;Resurrection Bay;Alaska;60,1200;-149,4267;-09:00 :America/Anchorage;US State: Alaska
Sheepscot River (off Barter Island), Maine Current;;Maine Current;43,9000;-69,6917;-05:00 :America/New_York;US State: Maine
Shell Island (north end), Crystal Bay, Florida;Crystal Bay;Florida;28,9233;-82,6917;-5:00 :America/New_York;US State: Florida
Shell Point, Florida;;Florida;30,0600;-84,2900;-05:00 :America/New_York;US State: Florida
Sherman Island (East), California Current;;California Current;38,0587;-121,8000;-08:00 :America/Los_Angeles;US State: California
Shinnecock Canal, Railroad Bridge, New York Current;Railroad Bridge;New York Current;40,8867;-72,5017;-5:00 :America/New_York;US State: New York
Sisters Creek, St. Johns River, Florida;St. Johns River;Florida;30,4167;-81,4533;-5:00 :America/New_York;US State: Florida
Sitka, Alaska;;Alaska;57,0517;-135,3417;-09:00 :America/Anchorage;US State: Alaska
Skagway, Alaska;;Alaska;59,4500;-135,3250;-9:00 :America/Anchorage;US State: Alaska
Solomons Island, Patuxent River, Maryland;Patuxent River;Maryland;38,3167;-76,4517;-05:00 :America/New_York;US State: Maryland
Solomons Island, Patuxent River, Maryland (2);Patuxent River;Maryland;38,3167;-76,4533;-05:00 :America/New_York;US State: Maryland
Sombrero Key, Hawk Channel, Florida;Hawk Channel;Florida;24,6267;-81,1117;-05:00 :America/New_York;US State: Florida
South Beach, Yaquina Bay, Oregon;Yaquina Bay;Oregon;44,6250;-124,0433;-08:00 :America/Los_Angeles;US State: Oregon
South Bend, Washington;;Washington;46,6633;-123,7983;-08:00 :America/Los_Angeles;US State: Washington
South Jamesport, Gt. Peconic Bay, New York;Gt. Peconic Bay;New York;40,9350;-72,5767;-05:00 :America/New_York;US State: New York
South Lubec, Maine;;Maine;44,8210;-66,9920;-04:00 :America/New_York;US State: Maine
South Pass, Louisiana;;Louisiana;28,9900;-89,1400;-6:00 :America/Chicago;US State: Louisiana
South Yarmouth, Bass River, Nantucket Sound, Massachusetts;Nantucket Sound;Massachusetts;41,6650;-70,1833;-5:00 :America/New_York;US State: Massachusetts
Southwest Pass, Mississippi River Delta, Louisiana;Mississippi River Delta;Louisiana;28,9333;-89,4333;-6:00 :America/Chicago;US State: Mississippi
Spuyten Duyvil Creek Entrance, Hudson River, New York;Hudson River;New York;40,8783;-73,9250;-5:00 :America/New_York;US State: New York
Squibnocket Point, Martha's Vineyard, Massachusetts;Martha's Vineyard;Massachusetts;41,3117;-70,7683;-05:00 :America/New_York;US State: Massachusetts
St. Augustine Beach, Florida;;Florida;29,8567;-81,2617;-5:00 :America/New_York;US State: Florida
St. Augustine, city dock, Florida;city dock;Florida;29,8917;-81,3100;-5:00 :America/New_York;US State: Florida
